,Albedo_inst,AvgSurfT_inst,CanopInt_inst,ECanop_tavg,ESoil_tavg,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,PotEvap_tavg,Psurf_f_inst,Qair_f_inst,Qg_tavg,Qh_tavg,Qle_tavg,Qs_acc,Qsb_acc,Qsm_acc,Rainf_f_tavg,Rainf_tavg,RootMoist_inst,SWE_inst,SWdown_f_tavg,SnowDepth_inst,Snowf_tavg,SoilMoi0_10cm_inst,SoilMoi100_200cm_inst,SoilMoi10_40cm_inst,SoilMoi40_100cm_inst,SoilTMP0_10cm_inst,SoilTMP100_200cm_inst,SoilTMP10_40cm_inst,SoilTMP40_100cm_inst,Swnet_tavg,Tair_f_inst,Tveg_tavg,Wind_f_inst,geometry
0,14.649999618530273,314.0799255371094,0.0,0.4099999964237213,241.19000244140625,0.00010526786354603246,438.12847900390625,-99.06326293945312,757.0910034179688,97338.390625,0.015509087592363358,96.21097564697266,166.8466796875,263.4010314941406,3.9999998989515007e-05,0.0027000000700354576,0,3.6999999792897142e-06,3.6999999792897142e-06,415.95098876953125,0,731.8699951171875,0,0,32.38199996948242,353.7788391113281,108.94499969482422,219.0030059814453,309.8370361328125,306.4259033203125,303.7246398925781,304.7995910644531,624.6500244140625,309.569091796875,21.799999237060547,4.402705192565918,<map object at 0x7f6964a9e790>
0,14.699999809265137,311.1142578125,0.0,0.0,169.3300018310547,7.601248944411054e-05,428.2165832519531,-97.14478302001953,680.6293334960938,97432.1328125,0.014348705299198627,70.21765899658203,178.90943908691406,190.0693359375,0.0,0.0027799999807029963,0,0.0,0.0,412.22698974609375,0,627.6699829101562,0,0,30.28700065612793,354.38482666015625,107.86299896240234,218.08299255371094,308.8166198730469,306.307373046875,304.3555603027344,304.841064453125,535.4000244140625,306.83929443359375,20.729999542236328,4.008617877960205,<map object at 0x7f6964ac2950>
0,14.749999046325684,312.8237609863281,0.0,0.0,160.52000427246094,7.374358392553404e-05,417.01666259765625,-119.17990112304688,785.2486572265625,97487.1171875,0.01353614404797554,88.62236022949219,231.52528381347656,184.49867248535156,0.0,0.002839999971911311,0,0.0,0.0,409.4960021972656,0,730.25,0,0,28.722000122070312,354.8358154296875,107.26100158691406,217.25099182128906,309.89862060546875,306.2088317871094,304.4371032714844,304.89251708984375,622.5399780273438,307.7137451171875,23.969999313354492,4.603018283843994,<map object at 0x7f6964aa3590>
0,14.799999237060547,310.819091796875,0.0,0.0,99.47000122070312,4.7625930164940655e-05,419.27410888671875,-105.98249816894531,627.3644409179688,97388.90625,0.013656780123710632,50.333946228027344,154.43792724609375,119.17445373535156,0.0,0.0028899998869746923,0,0.0,0.0,406.9729919433594,0,503.760009765625,0,0,27.03499984741211,355.1728210449219,106.95999908447266,216.51699829101562,309.3379211425781,306.11029052734375,304.7677917480469,304.9539794921875,429.2099914550781,307.02239990234375,19.700000762939453,4.2050018310546875,<map object at 0x7f6964accb10>
0,14.849998474121094,308.8586120605469,0.0,0.009999999776482582,70.02999877929688,3.496859790175222e-05,438.78961181640625,-74.55732727050781,525.8762817382812,97401.265625,0.015243093483150005,54.28425598144531,153.1374969482422,87.4662857055664,0.0,0.0029299999587237835,0,1.0000000116860974e-07,1.0000000116860974e-07,405.3680114746094,0,433.010009765625,0,0,25.986000061035156,355.434814453125,106.82099914550781,215.9409942626953,307.3032531738281,306.0217590332031,304.59954833984375,305.01544189453125,368.7099914550781,305.3787841796875,17.43000030517578,4.404361248016357,<map object at 0x7f6964ab1a90>
0,14.899999618530273,312.2619323730469,0.0,0.0,76.0199966430664,3.916507193935104e-05,446.97393798828125,-89.5595703125,683.6336669921875,97210.1171875,0.014876765199005604,59.29286193847656,194.73484802246094,97.9636459350586,0.0,0.002959999954327941,0,0.0,0.0,403.7760009765625,0,517.760009765625,0,0,24.91699981689453,355.63482666015625,106.70099639892578,215.41299438476562,310.32354736328125,305.9432373046875,304.7713623046875,305.02691650390625,440.6199951171875,308.1835021972656,21.940000534057617,5.110111236572266,<map object at 0x7f6964aa4910>
0,14.94999885559082,307.5539855957031,0.0,0.2800000011920929,52.36000061035156,2.808222416206263e-05,432.7550354003906,-73.48164367675781,521.9348754882812,97455.0234375,0.014746004715561867,45.255165100097656,150.9957275390625,70.24484252929688,0.0,0.0029899999499320984,0,1.0000000116860974e-07,1.0000000116860974e-07,402.8680114746094,0,399.010009765625,0,0,24.415000915527344,355.788818359375,106.61799621582031,214.98500061035156,306.4744873046875,305.86468505859375,304.7427062988281,305.08837890625,339.3599853515625,304.23309326171875,17.610000610351562,4.804522514343262,<map object at 0x7f6964a53ed0>
0,14.999999046325684,309.9010925292969,0.01899999938905239,8.90999984741211,81.68000030517578,4.1973697079811245e-05,452.0138854980469,-67.56312561035156,593.5737915039062,97322.9765625,0.013677896000444889,38.52244186401367,97.67853546142578,104.95381164550781,0.0,0.003000000026077032,0,0.0,0.0,404.2829895019531,0,362.8399963378906,0,0,26.20599937438965,355.9128112792969,106.49400329589844,214.64199829101562,308.5036315917969,305.796142578125,304.54486083984375,305.0698547363281,308.4200134277344,307.74102783203125,14.369999885559082,5.106057643890381,<map object at 0x7f6964aa4f90>
0,15.019998550415039,315.0232238769531,0.0,0.0,83.5999984741211,4.5027521991869435e-05,425.4937744140625,-124.67082214355469,761.7932739257812,97145.4453125,0.013690930791199207,83.08097839355469,227.56036376953125,112.5032958984375,0.0,0.003019999945536256,0,0.0,0.0,402.41900634765625,0,643.0599975585938,0,0,24.888999938964844,355.996826171875,106.30000305175781,214.2209930419922,311.718505859375,305.73760986328125,305.0091857910156,305.07159423828125,546.5,309.6629638671875,28.90999984741211,3.909619092941284,<map object at 0x7f6964a531d0>
0,15.029999732971191,298.2108154296875,0.4169999957084656,8.59000015258789,72.88999938964844,3.2665830076439306e-05,435.4066162109375,-14.021698951721191,137.3844451904297,97260.5,0.01669349893927574,-32.369571685791016,-33.751834869384766,81.7744369506836,0.0,0.0030300000216811895,0,0.0,0.0,423.4580078125,0,34.95000076293945,0,0,38.29800033569336,356.0788269042969,113.33999633789062,214.73399353027344,299.86187744140625,305.6690673828125,304.13043212890625,305.1136474609375,29.690000534057617,299.162353515625,0.28999999165534973,4.001529693603516,<map object at 0x7f6964ac7090>
