OBSERVED DATA,FINAL-VALUES
5.354,8.68688883234041
4.753,8.66277781832543
7.6,8.63522217324429
10.76,8.61455558980298
76.75,8.590444495591
60.73,8.57666661290233
64.93,8.54911108811703
52.13,8.52499995380656
45.34,8.50088893979158
39.07,8.48022227615327
33.94,8.45611102154694
35.63,8.43200000753231
56.17,8.40788891332034
34.11,8.39411115092751
90.94,8.37344444719036
57.45,8.34933331287988
67.8,8.32177786829158
60.8,8.30800002570176
87.4,8.32866668934007
492,8.51466662198706
312,8.82122234648297
304.8,9.17600001881115
279.6,9.53077773123782
351.6,10.102555692558
416.4,11.4872221964309
258,13.2645555901237
161.6,14.7215553766325
119.6,15.7927778161441
81.67,16.5471110389466
57.99,17.0362221853188
58,17.3737775042861
717.6,17.8525557198252
304.8,18.4656666074363
380.4,19.4094443538538
247.2,20.7493329394814
147.6,22.1374440343224
108.4,23.2775556466852
97.2,24.0732219561726
90.78,24.5451110699731
85.68,24.7621106371903
79.45,24.9205553257426
56.51,26.0158888193676
170,30.3283337814111
251.3,34.5408890939628
231.6,37.7063334221022
163,40.0278887711464
920,43.3414450975962
483.698,47.4782222959523
276.578,51.4737783620754
282.36,59.1962230650502
420,108.703220863309
540,262.556219812379
894.826,492.190446854674
543.954,690.924537854476
618.7,1138.34066330973
1563.136,1855.522192104
1989.16,1816.58277114232
920.347,1541.81944198079
520,1307.40086370044
655.758,1149.29400434097
4253.83,1741.15635255973
11060,2643.74538461367
12740,2858.63398644659
12040,2534.301650193
5100,2023.50432177385
1010,1604.88720436891
766.461,1288.66654634476
565.851,1053.87945092387
577.56,880.00389304426
463.086,749.624777833619
398.85,653.862340417174
426.118,581.745993511545
350,521.444126798048
391.044,467.652216305335
349.595,420.22910979059
337.247,378.334332671432
303.042,341.358219252692
272.067,308.360443636775
232.559,279.127445113328
220,253.662668954995
212.215,231.75944627987
233.759,214.413224781553
180.929,201.496556318469
414.444,196.97744415866
844.03,272.510661060611
2970,420.435785088274
2804.379,512.994893971418
1021.083,605.226790491078
800,663.210559719138
522.528,666.699772742059
432.578,637.049995031623
343.001,592.802675399515
280,545.203892058797
400,501.896881643269
820.319,465.471886098386
673.986,452.489772852925
626.65,477.747891677752
960,701.623011794356
880,1129.24387769567
1058.515,1252.14855538474
1080,1553.45823764801
2791.974,2363.04050121042
7238.876,3619.42563586765
3388.474,3411.49142914348
1623.058,2677.30470630858
952.8,2112.50187589063
691.229,1716.81787901455
567.6,1412.05690867371
500.665,1176.82545648681
426.075,992.282456821866
361.519,848.993559843965
352.531,740.35233143303
324.993,657.224120696387
294,587.959774335224
243.6,525.973558094766
260.234,468.000115702549
224.122,414.101444101994
217.874,366.202997747395
204.93,324.635443256961
194.419,288.95444182886
156,258.750112520324
147.6,233.292221774658
151.522,213.490109849307
138.552,214.826556129588
122.905,221.371001005173
122.451,218.54655365977
116.405,211.592222708795
104.583,202.657334754864
98.6,192.988774387373
153.475,192.830334189865
220.9,205.18210882114
218.091,209.863106451101
177.012,209.470446738932
134.468,204.803225066927
116.511,196.846553310752
101.4,186.347887540857
